datetime,teamperature,humidity
2022-02-19  03:11:47,21,37
2022-02-19  03:12:20,21,37
2022-02-19  03:12:54,21,37
2022-02-19  03:13:27,21,37
2022-02-19  03:14:01,21,37
2022-02-19  03:14:34,21,37
2022-02-19  03:15:08,21,37
2022-02-19  03:15:41,21,37
2022-02-19  03:16:15,21,37
2022-02-19  03:16:48,21,37
2022-02-19  03:17:22,21,37
2022-02-19  03:17:55,21,37
2022-02-19  03:18:29,21,37
2022-02-19  03:19:02,21,37
2022-02-19  03:19:36,21,37
2022-02-19  03:20:09,21,37
2022-02-19  03:20:43,21,37
2022-02-19  03:21:16,21,37
2022-02-19  03:21:50,21,37
2022-02-19  03:22:23,21,37
2022-02-19  03:22:57,21,37
2022-02-19  03:23:30,21,37
2022-02-19  03:24:04,21,37
2022-02-19  03:24:37,21,37
2022-02-19  03:25:11,21,37
2022-02-19  03:25:44,21,37
2022-02-19  03:26:18,21,37
2022-02-19  03:26:51,21,37
2022-02-19  03:27:25,21,37
2022-02-19  03:27:58,21,37
2022-02-19  03:28:32,21,37
2022-02-19  03:29:05,21,37
2022-02-19  03:29:39,21,37
2022-02-19  03:30:12,21,37
2022-02-19  03:30:46,21,37
2022-02-19  03:31:19,21,37
2022-02-19  03:31:53,21,37
2022-02-19  03:32:26,21,37
2022-02-19  03:33:00,21,37
2022-02-19  03:33:33,21,37
2022-02-19  03:34:07,21,37
2022-02-19  03:34:40,21,37
2022-02-19  03:35:14,21,37
2022-02-19  03:35:47,21,37
2022-02-19  03:36:21,21,37
2022-02-19  03:36:54,21,37
2022-02-19  03:37:28,21,37
2022-02-19  03:38:01,21,37
2022-02-19  03:38:35,21,37
2022-02-19  03:39:08,21,37
2022-02-19  03:39:42,21,37
2022-02-19  03:40:15,21,37
2022-02-19  03:40:49,21,37
2022-02-19  03:41:22,21,37
2022-02-19  03:41:56,21,37
2022-02-19  03:42:29,21,37
2022-02-19  03:43:03,21,37
2022-02-19  03:43:36,21,37
2022-02-19  03:44:10,21,37
2022-02-19  03:44:43,21,37
2022-02-19  03:45:17,21,37
2022-02-19  03:45:50,21,37
2022-02-19  03:46:24,21,37
2022-02-19  03:46:57,21,37
2022-02-19  03:47:31,21,37
2022-02-19  03:48:04,21,37
2022-02-19  03:48:38,21,37
2022-02-19  03:49:11,21,37
2022-02-19  03:49:45,21,37
2022-02-19  03:50:18,21,37
2022-02-19  03:50:52,21,37
2022-02-19  03:51:25,21,37
2022-02-19  03:51:59,21,37
2022-02-19  03:52:32,21,37
2022-02-19  03:53:06,21,37
2022-02-19  03:53:39,21,37
2022-02-19  03:54:13,21,37
2022-02-19  03:54:46,21,37
2022-02-19  03:55:20,21,37
2022-02-19  03:55:53,21,37
2022-02-19  03:56:27,21,37
2022-02-19  03:57:00,21,37
2022-02-19  03:57:34,21,37
2022-02-19  03:58:07,21,37
2022-02-19  03:58:41,21,37
2022-02-19  03:59:14,21,37
